state,rotation,action,utility
"[858.4874578619888, 1413.2926078156427, 352.80861002296973]",129.388,[13.13998917 12.92686406],0.4
"[892.6144217052511, 1412.0073745686316, 329.10768121725755]",130.6882,[11.32129575 14.71381197],0.33333333333333337
"[1068.469794572294, 1444.1583368569252, 256.38475366791994]",123.9812,[13.28516341 10.92688177],0.2666666666666667
"[1178.9080262019172, 1463.208383738728, 292.5395943172479]",136.9352,[13.7305947  10.63481149],0.19999999999999996
"[1178.9119671464575, 1463.221154262448, 292.5267616494771]",136.9337,[18.47381566  0.61794689],0.1333333333333333
"[1202.338187291712, 1393.2624148450716, 398.6669745789335]",233.0951,[19.80026368  0.38884974],0.06666666666666665
"[279.48754852071676, 930.4280357868199, 1167.166624684805]",158.125,[10.24256099 13.89363617],1.0
"[332.45955126217984, 883.9897246153091, 1156.7412818886728]",150.132,[11.91693879 16.75128035],0.9333333333333333
"[434.0929766933462, 808.5895821827597, 1122.6384246116334]",135.7693,[10.18886564 14.14341711],0.8666666666666667
"[461.8055592963342, 795.9663652422757, 1104.0701674246072]",111.7906,[ 1.92875938 16.25614254],0.8
"[487.1921769487786, 799.3025818049696, 1067.7092007096735]",89.7646,[ 4.83207177 15.37516992],0.7333333333333334
"[489.23437006965275, 800.6742838741919, 1063.5007234870366]",87.63245,[17.51978381 16.85896554],0.6666666666666667
"[610.9013913504699, 883.5821353750539, 878.7678362081421]",89.17276,[18.77562554 19.05514915],0.6
"[617.2545185214038, 888.1949902105337, 870.8087394112957]",88.97026,[17.33948503 17.16518463],0.5333333333333333
"[718.0325729316261, 964.4435368598884, 755.3666975653686]",88.93787,[14.43778797 18.20804033],0.4666666666666667
"[831.423681283099, 1079.2747832680702, 620.8859297796496]",71.85202,[14.7741446  19.41618891],0.4
"[831.5390200724557, 1079.2426705347875, 620.9020066830675]",71.85506,[15.44914672 16.36409972],0.33333333333333337
"[1023.5843632345405, 1316.8968633337463, 386.70038616254317]",72.25238,[16.10922044 15.5535711 ],0.2666666666666667
"[1023.5512529645596, 1316.8611952082572, 386.73159613008096]",72.24992,[19.67141214 19.80427516],0.19999999999999996
"[1165.1981286107184, 1472.7120964118953, 269.8585535385529]",72.23904,[16.90301932  0.99557385],0.1333333333333333
"[1247.1593703676567, 1525.266591483551, 279.17366476057515]",126.566,[17.3665624   4.15402477],0.06666666666666665
"[153.74028064072863, 1048.6835909326942, 1184.3278236584201]",199.1472,[ 3.6118789  18.41974102],1.0
"[203.959122489287, 997.3119690681548, 1196.6030434720615]",170.0797,[12.8513756  16.21933417],0.9333333333333333
"[348.17383564531383, 861.0509740009416, 1183.0014284978568]",150.8462,[10.62297648 15.58791834],0.8666666666666667
"[422.3973628429634, 799.64142722641, 1164.1432610021373]",144.0161,[12.60503046 15.4776468 ],0.8
"[446.89742843893157, 781.3754741130092, 1156.6134149080797]",139.8969,[10.90833949 15.57452725],0.7333333333333334
"[507.64065019595307, 743.8919207326895, 1131.160991959752]",129.2389,[10.59946458 15.22197335],0.6666666666666667
"[537.6584858169077, 734.2439426858964, 1109.0566835698392]",108.4556,[ 3.05920667 16.54874213],0.6
"[568.0864837620501, 754.0678570481107, 1051.046113656832]",73.38223,[ 3.95619364 15.21199216],0.5333333333333333
"[568.0959605604057, 754.0581280014493, 1051.0507791753212]",73.38616,[19.96692225 20.04518464],0.4666666666666667
"[638.6254004147737, 902.0197791927459, 846.5516416940729]",69.22189,[19.77623718 20.39122934],0.4
"[638.6256703181684, 902.0194381438406, 846.5518453050174]",69.22057,[19.6227714  20.21857954],0.33333333333333337
"[748.3828482110247, 1072.5667193682852, 646.2545191303853]",67.28913,[18.76456216 18.2696027 ],0.2666666666666667
"[773.040762698513, 1106.0207325333006, 608.7282060111055]",67.29195,[19.49801382 19.76037607],0.19999999999999996
"[870.7458052587449, 1228.26515760063, 474.81863629779735]",69.03657,[19.09659893 18.26666972],0.1333333333333333
"[870.7461683102142, 1228.2422601534763, 474.8392671493376]",69.03658,[19.58220729 20.22771124],0.06666666666666665
"[245.58677000400488, 1184.0229987635375, 958.7371180886864]",112.0205,[19.35167468 18.97972613],1.0
"[353.88724883909003, 1169.5236401590607, 859.7540723316756]",112.0199,[12.01605795 12.28875015],0.9333333333333333
"[429.08586085304654, 1166.5218540533222, 792.8105675279562]",110.4224,[18.44944581 19.02377807],0.8666666666666667
"[429.1008043319075, 1166.5197384863618, 792.7982216669574]",110.4216,[13.15295806 15.65051086],0.8
"[567.435668506292, 1185.124887044898, 669.2449461095559]",101.7462,[14.64220959 17.00752018],0.7333333333333334
"[672.8549812474172, 1225.8908865757433, 570.6705615234258]",92.29612,[11.30584016 14.24429429],0.6666666666666667
"[739.1313613804044, 1261.5974831046747, 506.81859612296194]",90.94091,[19.40725106 20.21753672],0.6
"[739.1332582537603, 1261.5984041908187, 506.81686382441933]",90.94025,[13.42945544 16.48888177],0.5333333333333333
"[836.7717648469802, 1324.9791343433035, 411.2292139976561]",86.14467,[10.61725325 10.44528924],0.4666666666666667
"[1042.587531745594, 1478.4085096316815, 219.46325740626838]",69.18892,[ 2.61756571 16.09460088],0.4
"[1076.0287674176423, 1489.4648127130529, 208.2795916798619]",176.7358,[11.40610361 11.69429224],0.33333333333333337
"[1078.034409503041, 1483.1191550487674, 215.35558519009905]",176.7358,[17.4019321  17.89651019],0.2666666666666667
"[1163.9412629122528, 1291.7881805891282, 488.16831473352505]",191.0759,[17.9905932  13.53580162],0.19999999999999996
"[1178.5106703813378, 1249.9730589907408, 547.5759309928353]",191.0765,[19.76089861 19.58411533],0.1333333333333333
"[1193.050070429586, 1200.6852004384996, 614.7764394900313]",214.0879,[19.47244444  0.28620164],0.06666666666666665
"[158.0505632976042, 1048.225729773263, 1250.549823301211]",212.9952,[17.09711926 16.154707  ],1.0
"[387.9815397863409, 848.1750734459131, 1385.4405780166032]",153.699,[16.30607491  3.02497572],0.9333333333333333
"[388.0894396410833, 848.0866306934274, 1385.511939017824]",153.6995,[10.04380286 14.94784512],0.8666666666666667
"[455.8828595306036, 756.8377776074606, 1360.6386962062338]",145.9473,[10.13411437 10.07575186],0.8
"[455.8434460074204, 756.8774585545007, 1360.6249620185276]",145.9471,[14.54821481 18.15559139],0.7333333333333334
"[541.3238555051519, 658.7481131198498, 1322.394433041429]",133.7868,[10.55784961 13.97930015],0.6666666666666667
"[572.2115998793629, 629.1282500702857, 1303.6241003588805]",127.7792,[10.77988351 14.85952151],0.6
"[616.4028528872701, 595.8292482310394, 1270.3750300787424]",120.0282,[12.95957971 16.2205525 ],0.5333333333333333
"[651.0612477352047, 579.9157286214279, 1239.0159112386416]",113.636,[12.86870762 16.87914357],0.4666666666666667
"[664.8056515353813, 576.8472122784185, 1224.8703091810914]",110.5354,[10.44752386 14.93075651],0.4
"[702.5649288448809, 580.9850249729441, 1178.8908512847204]",101.5695,[13.77636073 18.46005628],0.33333333333333337
"[722.8400910820407, 592.1854010995991, 1149.306032906594]",97.01347,[13.26832951 16.25202126],0.2666666666666667
"[742.626613325218, 608.518639664294, 1118.4847459035295]",93.67039,[ 2.53701281 16.94167479],0.19999999999999996
"[754.2488811688951, 629.7235065840644, 1089.0293360348608]",72.64329,[16.77034248 16.04719284],0.1333333333333333
