"[1264.4458493451507, 496.0082518730712, 1360.7356928978456]","[12.055699737076988, 0.49724573872816813]","[1267.7065669507276, 479.0651937784669, 1378.0490919738672]"
"[1267.7065669507276, 479.0651937784669, 1378.0490919738672]","[17.67363946511978, 3.010825729843103]","[1287.6390757973797, 453.3968565399743, 1417.7210972262246]"
"[1287.6390757973797, 453.3968565399743, 1417.7210972262246]","[13.02088088281867, 17.97226029768806]","[1322.787407827312, 427.6202594668546, 1473.551697873712]"
"[1322.787407827312, 427.6202594668546, 1473.551697873712]","[11.884223393442738, 14.314003539006091]","[1348.1897508169536, 408.2265109077067, 1516.8569887131348]"
"[1348.1897508169536, 408.2265109077067, 1516.8569887131348]","[21.24455251782599, 25.79465138477944]","[1396.5177230467002, 373.48530196453515, 1604.423307853492]"
"[1395.4839261610505, 372.7924196840113, 1603.7580703378737]","[23.055454763384425, 25.07993201028085]","[1362.2445139169545, 294.7807926185829, 1633.7966200530714]"
"[1362.2445139169545, 294.7807926185829, 1633.7966200530714]","[23.482131928948604, 18.61906617206848]","[1337.8358912527988, 228.75732102857387, 1663.8397254315605]"
"[1333.1787107573014, 215.16085800279754, 1670.5778984580456]","[5.34084302294038, 12.326841476707415]","[1304.4408038931663, 191.75643629732488, 1655.2906847020706]"
"[1303.5954449131716, 191.78249137595952, 1654.23073481252]","[28.65489413149131, 18.333698475850582]","[1239.778732794082, 215.40999579522767, 1569.252824209184]"
"[1239.778732794082, 215.40999579522767, 1569.252824209184]","[1.3878314793813373, 2.7162443897420108]","[1235.6021493658911, 217.34127890856354, 1564.1577514808441]"
"[1235.6021493658911, 217.34127890856354, 1564.1577514808441]","[25.171589623532245, 0.574543831533233]","[1201.2098654180625, 225.3225705021137, 1531.0955100115996]"
"[1201.2098654180625, 225.3225705021137, 1531.0955100115996]","[29.293672887455635, 22.368003256784824]","[1100.4269129652, 233.1136005858946, 1472.6021698945444]"
"[1100.4269129652, 233.1136005858946, 1472.6021698945444]","[9.193972232313763, 21.968012184115832]","[1048.4697546241998, 255.56202057764767, 1442.0711863017477]"
"[1048.4697546241998, 255.56202057764767, 1442.0711863017477]","[12.80237328031464, 7.659702661587997]","[1017.2870947238888, 275.2664038559192, 1421.9367050230364]"
"[1017.2870947238888, 275.2664038559192, 1421.9367050230364]","[8.668776888446075, 18.698967962609657]","[963.7302294588565, 315.3819829553045, 1386.2120022467054]"
"[963.7302294588565, 315.3819829553045, 1386.2120022467054]","[13.998806855631065, 24.337880809970578]","[903.6356631946418, 377.3650378575365, 1331.5793524222354]"
"[903.6356631946418, 377.3650378575365, 1331.5793524222354]","[18.288691644606452, 14.159804336954727]","[859.847950806525, 428.02618904242297, 1286.7960283223522]"
"[859.847950806525, 428.02618904242297, 1286.7960283223522]","[14.649207330595576, 23.343010974418988]","[799.1586847495121, 503.46277261637726, 1220.3582930478121]"
"[799.1586847495121, 503.46277261637726, 1220.3582930478121]","[21.862673774378976, 19.919393697990532]","[751.1551946408148, 572.9021543299348, 1157.6657058217975]"
"[751.1551946408148, 572.9021543299348, 1157.6657058217975]","[28.329698535221134, 0.25659556497167446]","[710.6782735542798, 617.8730553294031, 1123.8132622914234]"
"[710.6782735542798, 617.8730553294031, 1123.8132622914234]","[15.89404616194122, 23.538132454757346]","[633.8687270667721, 682.5852350829529, 1092.1148488841502]"
"[633.8687270667721, 682.5852350829529, 1092.1148488841502]","[22.100176637291625, 14.298074132376678]","[569.5913188861432, 739.4061986151158, 1069.2109382860128]"
"[569.5913188861432, 739.4061986151158, 1069.2109382860128]","[7.5094441432569585, 4.68231374806779]","[551.4087185688761, 753.9555788730328, 1065.9993128111153]"
"[551.4087185688761, 753.9555788730328, 1065.9993128111153]","[12.58884401266549, 7.906450753727112]","[522.3503868964012, 775.7366090953939, 1064.0664296418809]"
"[522.3503868964012, 775.7366090953939, 1064.0664296418809]","[13.40859895082147, 17.71549664867874]","[458.3761227564652, 823.9784644717663, 1064.5805699491468]"
"[458.3761227564652, 823.9784644717663, 1064.5805699491468]","[4.418995025898572, 4.690520928641506]","[444.89682445423233, 834.9169925264787, 1064.450348494217]"
"[444.89682445423233, 834.9169925264787, 1064.450348494217]","[7.885960179135112, 6.473399879853567]","[424.95647420912417, 851.1101015569313, 1064.7760351229972]"
"[424.95647420912417, 851.1101015569313, 1064.7760351229972]","[16.44799713302195, 29.862933568084774]","[342.93378536628614, 927.559497361571, 1058.429922642803]"
"[342.93378536628614, 927.559497361571, 1058.429922642803]","[21.803668621790862, 24.772645706540608]","[277.67455716334547, 1003.6558970562869, 1043.0103545487264]"
"[277.67455716334547, 1003.6558970562869, 1043.0103545487264]","[28.13435914438455, 15.198119953628035]","[221.93681145661708, 1069.6033041644598, 1040.9662954579894]"
"[221.93681145661708, 1069.6033041644598, 1040.9662954579894]","[8.64209723977723, 15.072585019830345]","[179.63971753832726, 1119.7243357707514, 1049.093679381041]"
"[180.65444373402497, 1119.5316645994656, 1048.1445835574643]","[19.55306774055634, 16.67899411641781]","[203.3035943890073, 1167.0417094052339, 1004.1039146878625]"
"[203.3035943890073, 1167.0417094052339, 1004.1039146878625]","[10.326165523854302, 3.340405453796589]","[217.21262851577026, 1193.3622274844843, 984.7334898269328]"
"[217.21262851577026, 1193.3622274844843, 984.7334898269328]","[29.85823006847926, 15.389304131128371]","[249.0384247560203, 1267.798460720378, 955.8637439535826]"
"[249.0384247560203, 1267.798460720378, 955.8637439535826]","[5.386566134765497, 27.386824318814288]","[285.53803656901823, 1322.5957698131695, 935.5132764037558]"
"[285.53803656901823, 1322.5957698131695, 935.5132764037558]","[28.64516851922985, 27.658503318666135]","[362.2708049026308, 1395.813904531976, 887.5834023261137]"
"[387.5000054031096, 1419.0226263831773, 873.0190457185972]","[5.882535024289051, 3.777822822883695]","[398.5083440371732, 1420.4416567628712, 859.6388196604722]"
"[398.5083440371732, 1420.4416567628712, 859.6388196604722]","[7.181394415322185, 3.1404205165614094]","[412.7168339595805, 1423.4246818970155, 843.3944184268828]"
"[412.7168339595805, 1423.4246818970155, 843.3944184268828]","[10.043240825161332, 16.111495450973194]","[458.49957855035154, 1433.3346934791084, 791.6803038669398]"
"[458.49957855035154, 1433.3346934791084, 791.6803038669398]","[4.427561479506168, 0.17241394303096347]","[464.43441598642323, 1434.6282468823238, 785.0159022291522]"
"[464.43441598642323, 1434.6282468823238, 785.0159022291522]","[17.90840892038661, 23.99713615184402]","[520.291641492202, 1446.7314996939308, 722.4780357953105]"
"[520.291641492202, 1446.7314996939308, 722.4780357953105]","[7.232938192432888, 21.630907218906227]","[571.5379593876131, 1446.9025533949953, 659.151065402277]"
"[571.5379593876131, 1446.9025533949953, 659.151065402277]","[10.41874476436185, 18.949852962259722]","[602.352292809245, 1434.1485713316297, 616.1682989675421]"
"[602.352292809245, 1434.1485713316297, 616.1682989675421]","[9.911502192834972, 9.717971831363158]","[622.7982360233405, 1422.3507453486234, 588.186306193696]"
"[627.1040146520498, 1420.0733802141065, 582.5972650062121]","[16.759218161293855, 16.912137632577245]","[666.6374287730307, 1402.5023142373482, 535.3593535571389]"
"[666.6374287730307, 1402.5023142373482, 535.3593535571389]","[29.369798344322454, 22.75032432882029]","[731.977408630847, 1388.6454575398034, 468.7069518856426]"
"[731.977408630847, 1388.6454575398034, 468.7069518856426]","[12.204595318109806, 4.094598676723004]","[758.5182067304977, 1389.7585509510818, 443.66828818572327]"
"[758.5182067304977, 1389.7585509510818, 443.66828818572327]","[10.38832887057951, 8.734576936113921]","[795.9796738706585, 1398.231726580126, 408.55016976528105]"
"[795.9796738706585, 1398.231726580126, 408.55016976528105]","[1.9656515541316244, 4.64885332974024]","[804.211876523998, 1400.1131462643473, 400.9914990897563]"
"[804.211876523998, 1400.1131462643473, 400.9914990897563]","[15.70015335040831, 28.136300133959615]","[874.7059103860281, 1404.1572667134726, 344.72776166744967]"
"[874.7059103860281, 1404.1572667134726, 344.72776166744967]","[9.56008962843428, 10.683383594952039]","[902.1283286659499, 1401.3042786567162, 329.0314291699503]"
"[902.1283286659499, 1401.3042786567162, 329.0314291699503]","[27.803991411333044, 19.905995978018392]","[969.6632343765385, 1404.1658833989557, 298.66340268196575]"
"[969.6632343765385, 1404.1658833989557, 298.66340268196575]","[23.993009726387964, 26.491154035107957]","[1044.4861724252792, 1418.3274672612142, 280.29085676776896]"
"[1044.4861724252792, 1418.3274672612142, 280.29085676776896]","[23.82942327994343, 19.845111880160033]","[1136.502692930206, 1441.3479146401849, 289.1981518571825]"
"[1136.502692930206, 1441.3479146401849, 289.1981518571825]","[16.72912397833197, 10.613678300399565]","[1180.5297130533395, 1459.6195680388093, 298.3638104760696]"
"[1180.5297130533395, 1459.6195680388093, 298.3638104760696]","[3.501597995734321, 20.464487337904984]","[1215.6893735596277, 1471.7443843907813, 314.3043317961113]"
"[1215.6893735596277, 1471.7443843907813, 314.3043317961113]","[26.84759767953546, 15.871434426001043]","[1291.6330307765165, 1492.874129386979, 368.5384731516236]"
"[1291.6330307765165, 1492.874129386979, 368.5384731516236]","[15.86471750893794, 28.049362504876598]","[1362.2089262428578, 1514.931879239367, 428.0136898928818]"
"[1362.2089262428578, 1514.931879239367, 428.0136898928818]","[4.423993480466076, 5.146542067654362]","[1377.1026222891742, 1517.4733580250165, 444.0408453236256]"
"[1377.1026222891742, 1517.4733580250165, 444.0408453236256]","[28.06685073273459, 5.961157479398494]","[1436.7634101390877, 1544.3848926723222, 492.6750417004092]"
"[1436.7634101390877, 1544.3848926723222, 492.6750417004092]","[6.73852581750653, 25.139187828161468]","[1492.3468497218098, 1572.8355539835086, 538.6047900591027]"
"[1491.5389894698294, 1571.846836402542, 538.5054104729867]","[29.661009683267775, 7.332016358022758]","[1517.3635158384402, 1545.894278143752, 601.0257558521037]"
"[1490.5871036521314, 1455.3621382920644, 659.3025356951465]","[23.259111738326403, 2.834657691526358]","[1488.9586933865833, 1418.3853914262797, 696.2250718061515]"
"[1488.9586933865833, 1418.3853914262797, 696.2250718061515]","[12.646230583776418, 16.8110208040399]","[1507.7219026965715, 1386.806538732411, 753.9466134090464]"
"[1507.7219026965715, 1386.806538732411, 753.9466134090464]","[21.158203540984093, 15.183966222138839]","[1529.4659538474236, 1358.90371402039, 811.4931570742972]"
"[1529.4659538474236, 1358.90371402039, 811.4931570742972]","[13.1993932601238, 18.302627756259227]","[1554.8497837201508, 1333.2293163348156, 871.4437273482437]"
"[1554.8497837201508, 1333.2293163348156, 871.4437273482437]","[9.994813813450937, 25.941012662926244]","[1566.3195650181258, 1294.602927448633, 926.1710531854092]"
"[1566.3195650181258, 1294.602927448633, 926.1710531854092]","[28.02075065357095, 4.277447470568378]","[1583.5404576531823, 1267.1186452043273, 976.9754045135682]"
"[1583.5404576531823, 1267.1186452043273, 976.9754045135682]","[23.173114009480386, 0.29162666121233305]","[1611.3453628791967, 1268.3439432867924, 1013.0118846648788]"
"[1611.3453628791967, 1268.3439432867924, 1013.0118846648788]","[24.960979118671126, 24.558552240003777]","[1709.6012355354042, 1313.4240992703692, 1104.4674302776791]"
"[1709.6012355354042, 1313.4240992703692, 1104.4674302776791]","[27.30949425045012, 5.8611456350335605]","[1762.616547028519, 1350.2691479326409, 1144.5295504523856]"
"[1766.3585361732764, 1353.065821869801, 1147.242850625882]","[1.1537742803894635, 28.039623466562425]","[1789.2355487452176, 1337.6413902438874, 1196.305115300273]"
"[1789.2355487452176, 1337.6413902438874, 1196.305115300273]","[0.27686443266089156, 22.807599696402754]","[1784.335545473331, 1308.8360244276628, 1217.70189243493]"
"[1784.335545473331, 1308.8360244276628, 1217.70189243493]","[14.559998542716407, 3.232884871098125]","[1776.4757801677595, 1284.9299893467542, 1229.925021097892]"
"[1776.4757801677595, 1284.9299893467542, 1229.925021097892]","[7.38103616273051, 25.841887625778583]","[1757.8138999460948, 1230.1493351799609, 1257.2649151406792]"
"[1757.8138999460948, 1230.1493351799609, 1257.2649151406792]","[22.404989550137568, 17.17985759548608]","[1729.1828329738876, 1167.166479064405, 1278.7399383188124]"
"[1729.1828329738876, 1167.166479064405, 1278.7399383188124]","[12.735935952269344, 22.941053008528883]","[1704.7569743664255, 1113.3950698880294, 1297.5627081767457]"
"[1704.7569743664255, 1113.3950698880294, 1297.5627081767457]","[20.894373561303002, 19.584707039882193]","[1661.872254353568, 1032.6122359289618, 1317.8615214772035]"
"[1661.872254353568, 1032.6122359289618, 1317.8615214772035]","[7.734366078235629, 0.10705378992612813]","[1656.7878486919499, 1020.4620010433019, 1322.9000776979717]"
"[1656.7878486919499, 1020.4620010433019, 1322.9000776979717]","[20.237761713033493, 23.783452841650718]","[1631.938619577403, 952.3000252379499, 1356.3565232151168]"
"[1631.938619577403, 952.3000252379499, 1356.3565232151168]","[24.399030545189277, 21.860868535226196]","[1606.115872840188, 872.2997861911924, 1400.223423953906]"
"[1508.1681393104218, 786.319741855093, 1356.4060219680018]","[20.369295209514974, 3.985529990533058]","[1468.6844810924501, 747.420219824029, 1345.448871195706]"
"[1462.2063818135935, 739.1060431469898, 1345.6216344189775]","[17.43412602296426, 27.594115211047225]","[1396.3402505212925, 662.6695822397962, 1341.986750763906]"
