"[1341.458383122745, 1600.353746410552, 303.79630289108195]","[0.0002739658, 22.76809, -6.978623e-05]","[21.589607156110926, 22.208783852777138]","[1330.9693419498815, 1548.4855921869278, 350.0310117839561]","[-3.826522e-08, 23.85195, 1.918715e-08]"
"[1330.9693419498815, 1548.4855921869278, 350.0310117839561]","[-3.826522e-08, 23.85195, 1.918715e-08]","[9.093561145073028, 6.789822907981079]","[1330.9693419498815, 1548.4855921869278, 350.0310117839561]","[-3.826522e-08, 23.85195, 1.918715e-08]"
"[1330.9693419498815, 1548.4855921869278, 350.0310117839561]","[-3.826522e-08, 23.85195, 1.918715e-08]","[7.549651176764375, 15.655506770049373]","[1317.353396210098, 1439.070078386136, 461.4876493539995]","[7.831969e-07, 30.92516, 6.042026e-07]"
"[1317.353396210098, 1439.070078386136, 461.4876493539995]","[7.831969e-07, 30.92516, 6.042026e-07]","[3.1300250018092814, 26.528239461577513]","[1317.353396210098, 1439.070078386136, 461.4876493539995]","[7.831969e-07, 30.92516, 6.042026e-07]"
"[1317.353396210098, 1439.070078386136, 461.4876493539995]","[7.831969e-07, 30.92516, 6.042026e-07]","[20.95715203014494, 3.215394673974201]","[1251.6900733578382, 1322.5437670423426, 527.8087151066665]","[1.146864e-07, 48.31657, -2.994555e-07]"
"[1251.6900733578382, 1322.5437670423426, 527.8087151066665]","[1.146864e-07, 48.31657, -2.994555e-07]","[10.239510679946825, 2.366261521658408]","[1251.6900733578382, 1322.5437670423426, 527.8087151066665]","[1.146864e-07, 48.31657, -2.994555e-07]"
"[1251.6900733578382, 1322.5437670423426, 527.8087151066665]","[1.146864e-07, 48.31657, -2.994555e-07]","[21.40627481135262, 29.517805792097544]","[1228.6529932357819, 1188.7464968559302, 657.8353120555678]","[-3.33687e-07, 43.66615, 2.11216e-07]"
"[1228.6529932357819, 1188.7464968559302, 657.8353120555678]","[-3.33687e-07, 43.66615, 2.11216e-07]","[9.779303565956114, 22.077009944933287]","[1228.6529932357819, 1188.7464968559302, 657.8353120555678]","[-3.33687e-07, 43.66615, 2.11216e-07]"
"[1228.6529932357819, 1188.7464968559302, 657.8353120555678]","[-3.33687e-07, 43.66615, 2.11216e-07]","[9.471701112887029, 2.8354269776442087]","[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]"
"[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]","[22.480137598686515, 12.965139687611972]","[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]"
"[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]","[1.5465384436822605, 8.793391742891014]","[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]"
"[1186.1850347783554, 1087.6848443975525, 732.8852957537954]","[-1.34211e-07, 57.95453, -1.963187e-07]","[26.810992018009273, 18.281480974161685]","[1167.262548928192, 990.4345804394857, 821.0496806712368]","[3.65645e-07, 51.02342, -1.802592e-07]"
"[1167.262548928192, 990.4345804394857, 821.0496806712368]","[3.65645e-07, 51.02342, -1.802592e-07]","[21.98910619608646, 22.838230984784968]","[1167.262548928192, 990.4345804394857, 821.0496806712368]","[3.65645e-07, 51.02342, -1.802592e-07]"
"[1167.262548928192, 990.4345804394857, 821.0496806712368]","[3.65645e-07, 51.02342, -1.802592e-07]","[7.13757068419116, 26.689117745746643]","[1167.7611377923142, 813.7722500417424, 997.819059217652]","[-4.636386e-06, 57.65601, -1.638187e-06]"
"[1167.7611377923142, 813.7722500417424, 997.819059217652]","[-4.636386e-06, 57.65601, -1.638187e-06]","[3.5434727097673555, 11.652695610927791]","[1167.7611377923142, 813.7722500417424, 997.819059217652]","[-4.636386e-06, 57.65601, -1.638187e-06]"
"[1167.7611377923142, 813.7722500417424, 997.819059217652]","[-4.636386e-06, 57.65601, -1.638187e-06]","[20.244352758126354, 21.81786961593101]","[1100.1239777617302, 672.6106499649645, 1089.592272387379]","[6.953991e-07, 87.69675, -2.199061e-07]"
"[1100.1239777617302, 672.6106499649645, 1089.592272387379]","[6.953991e-07, 87.69675, -2.199061e-07]","[0.18141327074235436, 0.3990366553996483]","[1100.1239777617302, 672.6106499649645, 1089.592272387379]","[6.953991e-07, 87.69675, -2.199061e-07]"
"[1100.1239777617302, 672.6106499649645, 1089.592272387379]","[6.953991e-07, 87.69675, -2.199061e-07]","[23.60230584809421, 19.899353254852876]","[1060.5427024716707, 587.2964700778601, 1148.6505960325424]","[-2.987593e-06, 80.92395, -2.828756e-06]"
"[1060.5427024716707, 587.2964700778601, 1148.6505960325424]","[-2.987593e-06, 80.92395, -2.828756e-06]","[19.31831333837794, 9.275056274595215]","[1060.5427024716707, 587.2964700778601, 1148.6505960325424]","[-2.987593e-06, 80.92395, -2.828756e-06]"
"[1060.5427024716707, 587.2964700778601, 1148.6505960325424]","[-2.987593e-06, 80.92395, -2.828756e-06]","[18.362706307224926, 20.29067383757861]","[1059.3844439948796, 472.5460825976024, 1251.2154571369153]","[5.385059e-06, 48.46428, -1.509647e-07]"
"[1059.3844439948796, 472.5460825976024, 1251.2154571369153]","[5.385059e-06, 48.46428, -1.509647e-07]","[6.594257634776449, 29.94138303061445]","[1059.3844439948796, 472.5460825976024, 1251.2154571369153]","[5.385059e-06, 48.46428, -1.509647e-07]"
"[1059.3844439948796, 472.5460825976024, 1251.2154571369153]","[5.385059e-06, 48.46428, -1.509647e-07]","[16.452258348991645, 13.012096037305884]","[1078.1370599078487, 281.9110497067116, 1423.9744098637236]","[4.052718e-06, 82.85966, 3.719042e-06]"
"[1078.1370599078487, 281.9110497067116, 1423.9744098637236]","[4.052718e-06, 82.85966, 3.719042e-06]","[10.164209761837279, 10.511282444897818]","[1036.0548688379058, 261.09464039449375, 1436.0151848928097]","[1.283215e-06, 168.3632, -4.001191e-08]"
"[1036.0548688379058, 261.09464039449375, 1436.0151848928097]","[1.283215e-06, 168.3632, -4.001191e-08]","[8.66186874831358, 19.59743533228981]","[916.7057626639423, 352.0468368005598, 1357.9829804902859]","[1.268859e-06, 193.9428, 1.745249e-07]"
"[916.7057626639423, 352.0468368005598, 1357.9829804902859]","[1.268859e-06, 193.9428, 1.745249e-07]","[27.509616448838244, 14.30977075036883]","[916.7057626639423, 352.0468368005598, 1357.9829804902859]","[1.268859e-06, 193.9428, 1.745249e-07]"
"[916.7057626639423, 352.0468368005598, 1357.9829804902859]","[1.268859e-06, 193.9428, 1.745249e-07]","[25.32088199405187, 20.59470756022825]","[647.3465076433129, 579.2509343609154, 1246.8716938634839]","[4.886091e-06, 153.3458, -1.134062e-06]"
"[647.3465076433129, 579.2509343609154, 1246.8716938634839]","[4.886091e-06, 153.3458, -1.134062e-06]","[29.739686927348227, 5.6903463112021315]","[581.602604325794, 618.5398397504773, 1325.1731620277203]","[-2.851587e-05, 76.60911, 2.453132e-05]"
"[581.602604325794, 618.5398397504773, 1325.1731620277203]","[-2.851587e-05, 76.60911, 2.453132e-05]","[23.355514567777924, 15.537416909446723]","[581.602604325794, 618.5398397504773, 1325.1731620277203]","[-2.851587e-05, 76.60911, 2.453132e-05]"
"[581.602604325794, 618.5398397504773, 1325.1731620277203]","[-2.851587e-05, 76.60911, 2.453132e-05]","[29.990898558550715, 15.401364910536913]","[678.9217874266664, 552.7625687785124, 1494.046717289195]","[-6.263735e-07, 41.25056, -2.357538e-07]"
"[687.870515079081, 522.2883011471348, 1314.2268622711833]","[-3.14208e-05, 265.7007, 2.273001e-05]","[20.061918328243323, 0.056574263175183104]","[687.870515079081, 522.2883011471348, 1314.2268622711833]","[-3.14208e-05, 265.7007, 2.273001e-05]"
"[687.870515079081, 522.2883011471348, 1314.2268622711833]","[-3.14208e-05, 265.7007, 2.273001e-05]","[21.723629706729096, 7.577027579057666]","[687.870515079081, 522.2883011471348, 1314.2268622711833]","[-3.14208e-05, 265.7007, 2.273001e-05]"
"[687.870515079081, 522.2883011471348, 1314.2268622711833]","[-3.14208e-05, 265.7007, 2.273001e-05]","[3.5887770760579754, 9.25595615628587]","[642.7950927807997, 600.2839488967508, 1210.0128641064427]","[-3.266449e-05, 211.9285, 4.372099e-06]"
"[642.7950927807997, 600.2839488967508, 1210.0128641064427]","[-3.266449e-05, 211.9285, 4.372099e-06]","[24.34410759571996, 4.913333570351343]","[642.7950927807997, 600.2839488967508, 1210.0128641064427]","[-3.266449e-05, 211.9285, 4.372099e-06]"
"[642.7950927807997, 600.2839488967508, 1210.0128641064427]","[-3.266449e-05, 211.9285, 4.372099e-06]","[14.408925199561319, 8.026264850563344]","[550.1349707292657, 723.0373199353475, 1112.426036201639]","[5.015784e-06, 181.0196, 3.76218e-08]"
"[550.1349707292657, 723.0373199353475, 1112.426036201639]","[5.015784e-06, 181.0196, 3.76218e-08]","[23.15576557277491, 16.77641714797653]","[384.1550333475927, 874.4577117541419, 1082.4964709625108]","[1.594102e-07, 155.3921, 2.300678e-07]"
